NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
BARAL COLONY,49420,Jhelum GPO,Punjab,49421
BARAMANGA,51780,Narowal GPO,Punjab,51781
BARATLA,11032,Kotli GPO,Azad Kashmir,11033
BARAWAL BANDI,18100,Batkhela HPO,KPK,18101
BARAZAI,43430,Attock GPO,Punjab,43431
BARIAN CAMP,47124,Murree GPO,Punjab,47125
BARIKOT,19240,Saidu Sharif GPO,KPK,19241
BARIKOT,12560,Bagh GPO,Azad Kashmir,12561
BARJAH,10070,Bhimber GPO,Azad Kashmir,10071
BARKHAN,84400,Loralai GPO,Balochistan,84401
BARKI,53200,Lahore GPO,Punjab,53201
BARNALA,10020,Bhimber GPO,Azad Kashmir,10021
BARNALI,50140,Gujrat GPO,Punjab,50141
BAROTHA WAPDA COLONY,43660,Attock GPO,Punjab,43661
BARSALI,10044,Bhimber GPO,Azad Kashmir,10045
BARSHORE,86800,Quetta GPO,Balochistan,86801
BARTHI,32124,Dera Ghazi Khan GPO,Punjab,32125
BASAL,43140,Attock GPO,Punjab,43141
BASHARAT,48410,Chakwal GPO,Punjab,48411
BASIMA,94050,Khuzdar GPO,Balochistan,94051
BASIR PUR,56010,Okara GPO,Punjab,56011
BASIRA,34300,Muzaffargarh GPO,Punjab,34301
BASSALI,47650,Rawalpindi GPO,Punjab,47651
BASTI BUZDAR,32110,Dera Ghazi Khan GPO,Punjab,32111
BASTI MALANA,32410,Dera Ghazi Khan GPO,Punjab,32411
BASTI MALOOK,59150,Multan GPO,Punjab,59151
BATA PUR,53400,Lahore Cantt GPO,Punjab,53401
BATAMOHRI,21044,Mansehra GPO,KPK,21045
BATKHELA GPO,23020,Batkhela HPO,KPK,23021
BATRASI CAMP,21250,Mansehra GPO,KPK,21251
BATTAGRAM,21040,Mansehra GPO,KPK,21041
BATTAL,21090,Mansehra GPO,KPK,21091
BEGOWALA,51080,Sialkot GPO,Punjab,51081
BEHAL,30040,Bhakkar GPO,Punjab,30041
BEHAR COLONY KOTRI,76040,Hyderabad GPO,Sindh,76041
BEHARI,10534,Mirpur GPO,Azad Kashmir,10535
BEHBOODI,43414,Attock GPO,Punjab,43415
BELA,90050,Khuzdar GPO,Balochistan,90051
BELIAN,21440,Mansehra GPO,KPK,21441
BENAHAL PATTAN,47432,Rawalpindi GPO,Punjab,47433
BER,77220,Larkana GPO,Sindh,77221
BERANI,68060,Sanghar GPO,Sindh,68061
BERO CHANDIO,77200,Larkana GPO,Sindh,77201
BERRARI,65220,Sukkur GPO,Sindh,65221
BESHAM,20500,Mansehra GPO,KPK,20501
BET MIR HAZAR KHAN,34440,Muzaffargarh GPO,Punjab,34441
BEWAL,47910,Gujar Khan GPO,Punjab,47911
BHABRA,40470,Sargodha GPO,Punjab,40471
BHADDAR,50964,Gujrat GPO,Punjab,50965
BHAG,81250,Sibi GPO,Balochistan,81251
BHAGOWAL KALAN,50820,Gujrat GPO,Punjab,50821
BHAGTAN WALA,40280,Sargodha GPO,Punjab,40281
BHAGWAL,48680,Chakwal GPO,Punjab,48681
BHAI PHERU,55260,Kasur GPO,Punjab,55261
BHAIR KALYAL,47790,Gujar Khan GPO,Punjab,47791
BHAKHRE WALI,50940,Gujrat GPO,Punjab,50941
BHAKKAR G.P.O.,30000,Bhakkar GPO,Punjab,30001
BHALAKHAR,47460,Rawalpindi GPO,Punjab,47461
BHALL,47570,Rawalpindi GPO,Punjab,47571
BHALLAH,48514,Chakwal GPO,Punjab,48515
BHALWAL,40410,Sargodha GPO,Punjab,40411
BHAN SAEEDABAD,76170,Dadu GPO,Sindh,76171
BHARAT,28310,Bannu GPO,KPK,28311
BHARING,10030,Bhimber GPO,Azad Kashmir,10031
BHARPUR,48540,Chakwal GPO,Punjab,48541
BHATTI GUJAR,48620,Chakwal GPO,Punjab,48621
BHAUN,48520,Chakwal GPO,Punjab,48521
BHAWANA,35350,Jhang GPO,Punjab,35351
BHAWLAY KHURD,47824,Gujar Khan GPO,Punjab,47825
BHER KUND,21340,Mansehra GPO,KPK,21341
BHERA,40540,Sargodha GPO,Punjab,40541
BHILOMAR,48290,Talagang GPO,Punjab,48291
BHIMBER GPO,10040,Bhimber GPO,Azad Kashmir,10041
BHIN,48750,Chakwal GPO,Punjab,48751
BHIRIA CITY,67320,Nawabshah GPO,Sindh,67321
BHIRIA ROAD,67310,Nawabshah GPO,Sindh,67311
BHIRTH,51250,Sialkot GPO,Punjab,51251
BHIT SHAH,70140,Hyderabad GPO,Sindh,70141
BHONG,64384,Rahimyar Khan GPO,Punjab,64385
BHOPAL WALA,51030,Sialkot GPO,Punjab,51031
BHORTI,67084,Nawabshah GPO,Sindh,67085
BHOTA,50960,Gujrat GPO,Punjab,50961
BHOTH,51260,Sialkot GPO,Punjab,51261
BHULEER CHAK 119,39610,Sargodha GPO,Punjab,39611
BHUTTA PUR,34500,Muzaffargarh GPO,Punjab,34501
BIAH,47234,Murree GPO,Punjab,47235
BIARI AYUB KHAN,21010,Mansehra GPO,KPK,21011
BILAL TOWN,49620,Jhelum GPO,Punjab,49621
BILALABAD,48140,Talagang GPO,Punjab,48141
BILLI TANG,26110,Kohat GPO,KPK,26111
BILOT,29170,Dera Ismail Khan GPO,KPK,29171
BINDI,10090,Bhimber GPO,Azad Kashmir,10091
BIR,22770,Haripur GPO,KPK,22771
BIRAN GALI,22230,Abbottabad GPO,KPK,22231
BIRPANI,12510,Bagh GPO,Azad Kashmir,12511
BISHAN DORE,49250,Jhelum GPO,Punjab,49251
BOCHAL KALAN,48560,Chakwal GPO,Punjab,48561
BOHA DHANGRI ,10490,Mirpur GPO,Azad Kashmir,10491
BOI,22180,Mansehra GPO,KPK,22181
BONG COLONY,12010,Kotli GPO,Azad Kashmir,12011
BOONI,17050,Chitral GPO,KPK,17051
BOONI MAIN BAZAR,17054,Chitral GPO,KPK,17055
BOOTA,43750,Attock GPO,Punjab,43751
BOSAL,50486,Mandi Bahauddin GPO,Punjab,50487
BOSTAN,86500,Quetta GPO,Balochistan,86501
BOTALA SARDAR JHANDA SINGH,52340,Gujranwala GPO,Punjab,52341
BOYA,28210,Bannu GPO,KPK,28211
BREP,17010,Chitral GPO,KPK,17011
BROZ,17230,Chitral GPO,KPK,17231
BUBAK,76150,Dadu GPO,Sindh,76151
BUCHAL KHURD,48580,Chakwal GPO,Punjab,48581
BUCHARI,67470,Nawabshah GPO,Sindh ,67471
BUCHEKI,39130,Qila Sheikhupura GPO,Punjab,39131
BUCHIANA,37260,Faisalabad GPO,Punjab,37261
BUDHA GORAYA,52356,Gujranwala GPO,Punjab,52357
BUDHAIR,49410,Jhelum GPO,Punjab,49411
BUDHIAL,48050,Talagang GPO,Punjab,48051
BUDHLA SANT,60060,Multan GPO,Punjab,60061
BUET ,89120,Khuzdar GPO,Balochistan,89121
BUFFER ZONE (KP-1979) ,75850,Alhydri GPO,Sindh,75851
BUGHAL CHAR,32310,Dera Ghazi Khan GPO,Punjab,32311
BUKHTARABAD DOMKI,81150,SIBI GPO,Balochistan,81151
BULANI,50040,Gujrat GPO,Punjab,50041
BULEDA,92800,Turbat GPO,Balochistan,92801
BULLAND HILL,40080,Sargodha GPO,Punjab,40081
BULRI SHAH KARIM,73020,Hyderabad GPO,Sindh,73021
BUNJI,14200,Gilgit GPO,Northern Area,14201
BURCH BASUHA,50970,Gujrat GPO,Punjab,50971
BUREWALA,61010,Vehari GPO,Punjab,61011
BUREWALA KATCHEHRY,61040,Vehari GPO,Punjab,61041
BURHAN,43710,Attock GPO,Punjab,43711
BURJ MANDI,37730,Faisalabad GPO,Punjab,37731
BUXAPUR,79190,Jacobabad GPO,Sindh,79191
BUZDAR,66130,Khairpur GPO ,Sindh,66131
BUZURANG WAL,50930,Gujrat GPO,Punjab,50931
C.M.A. CANTT. LAHORE,54800,Lahore Cantt GPO,Punjab,54801
CADIT COLLEGE MUSTUNG,88200,Khuzdar GPO,Balochistan,88201
"CADIT COLLEGE, LARKANA ",77062,Larkana GPO,SIndh,77063
CANAL COLONY FAROOQ ABAD,39510,Qila Sheikhupura GPO,Punjab,39511
CH0WK SARWAR SHAHEED,34030,Muzaffargarh GPO,Punjab,34031
CHABCHHAB,43050,Attock GPO,Punjab,43051
CHACHAN,12040,Rawalakot GPO,Azad Kashmir,12041
CHACHRAN SHARIF,64140,Rahimyar Khan GPO,Punjab,64141
CHACHRO,69170,Mirpur Khas GPO,Sindh,69171
CHAH MIRAN,54900,Lahore GPO,Punjab,54901
CHAK,78050,Shikarpur GPO,Sindh,78051
CHAK 10 M.L.,40530,Sargodha GPO,Punjab,40531
CHAK 102/P,64220,Rahimyar Khan GPO,Punjab,64221
CHAK 103 JB,37720,Faisalabad GPO,Punjab,37721
CHAK 103 RB,37660,Faisalabad GPO,Punjab,37661
CHAK 111 SB,40260,Sargodha GPO,Punjab,40261
CHAK 113 GB,37570,Faisalabad GPO,Punjab,37571
CHAK 117 JB,37600,Faisalabad GPO,Punjab,37601
CHAK 117/D.B,63230,Bahawalpur GPO,Punjab,63231
CHAK 117/M,62004,Bahawal Nagar GPO,Punjab,62005
CHAK 119/13-AL,57340,Sahiwal GPO,Punjab,57341
CHAK 120/13-AL,57330,Sahiwal GPO,Punjab,57331
CHAK 120/9-L,57130,Sahiwal GPO,Punjab,57131
CHAK 128 GB,37220,Faisalabad GPO,Punjab,37221
CHAK 132/6-R,62070,Bahawal Nagar GPO,Punjab,62071
CHAK 136/10-R,58220,Khanewal GPO,Punjab,58221
CHAK 138/10 R,58202,Khanewal GPO,Punjab,58203
CHAK 145/9-L,57180,Sahiwal GPO,Punjab,57181
CHAK 159 GB ,36150,T.T Singh GPO,Punjab,36151
CHAK 16 JB,37740,Faisalabad GPO,Punjab,37741
CHAK 168/9-L,57230,Sahiwal GPO,Punjab,57231
CHAK 175 /JB,35310,Jhang GPO,Punjab,35311
CHAK 189 RB (RASULPUR),37690,Faisalabad GPO,Punjab,37691
CHAK 199 RB,37620,Faisalabad GPO,Punjab,37621
CHAK 203 RB,37610,Faisalabad GPO,Punjab,37611
CHAK 206 GB,37040,Faisalabad GPO,Punjab,37041
CHAK 207 GB,37050,Faisalabad GPO,Punjab,37051
CHAK 227/R-9,62030,Bahawal Nagar GPO,Punjab,62031
CHAK 229RB,38220,Faisalabad GPO,Punjab,38221
CHAK 248 RB,37420,Faisalabad GPO,Punjab,37421
CHAK 253 RB,37400,Faisalabad GPO,Punjab,37401
CHAK 256 GB,36080,T.T Singh GPO,Punjab,36081
CHAK 257 RB,37410,Faisalabad GPO,Punjab,37411
CHAK 267 RB,37360,Faisalabad GPO,Punjab,37361
CHAK 271RB,38230,Faisalabad GPO,Punjab,38231
CHAK 275 J.B,37530,Faisalabad GPO,Punjab,37531
CHAK 29 S.B.,40310,Sargodha GPO,Punjab,40311
CHAK 297/HR,62024,Bahawal Nagar GPO,Punjab,62025
CHAK 316 GB QADIR ABAD,36000,T.T Singh GPO,Punjab,36001
CHAK 333 GB,36330,T.T Singh GPO,Punjab,36331
CHAK 34 N.B.,40330,Sargodha GPO,Punjab,40331
CHAK 353 GB,37224,Faisalabad GPO,Punjab,37225
CHAK 36 S.B.,40060,Sargodha GPO,Punjab,40061
CHAK 387 GB,36260,T.T Singh GPO,Punjab,36261
CHAK 4/DB,42060,Mianwali GPO,Punjab,42061
CHAK 424/JB,36160,T.T Singh GPO,Punjab,36161
CHAK 433 GB,37180,Faisalabad GPO,Punjab,37181
CHAK 447 GB,37130,Faisalabad GPO,Punjab,37131
CHAK 45 GB,37340,Faisalabad GPO,Punjab,37341
CHAK 46 S.B.,40050,Sargodha GPO,Punjab,40051
CHAK 47/T.D.A.,30050,Bhakkar GPO,Punjab,30051
CHAK 482 GB (JAGRANWAN),37060,Faisalabad GPO,Punjab,37061
CHAK 490,35110,Jhang GPO,Punjab,35111
CHAK 53/2-L,56316,Okara GPO,Punjab,56317
CHAK 583GB,38240,Faisalabad GPO,Punjab,38241
CHAK 59JB,38210,Faisalabad GPO,Punjab,38211
CHAK 64 S.B,40140,Sargodha GPO,Punjab,40141
CHAK 64SB,40140,Sargodha GPO,Punjab,40141
CHAK 66 GB,37230,Faisalabad GPO,Punjab,37231
CHAK 67 ML,30052,Bhakkar GPO,Punjab,30053
CHAK 69/4-R,62080,Bahawal Nagar GPO,Punjab,62081
CHAK 85/6 R (KOT KHADIM ALI SHAH),57070,Sahiwal GPO,Punjab,57071
CHAK 86 S.B.,40300,Sargodha GPO,Punjab,40301
CHAK 88 S.B.,40270,Sargodha GPO,Punjab,40271
CHAK 90/9-L,57030,Sahiwal GPO,Punjab,57031
CHAK 90/ML,31000,Layyah GPO,Punjab,31001
CHAK 91/6-R,57100,Sahiwal GPO,Punjab,57101
CHAK 98/GB,37290,Faisalabad GPO,Punjab,37291
CHAK AKKA,49460,Jhelum GPO,Punjab,49461
CHAK BAQAR SHAH,48860,Chakwal GPO,Punjab,48861
CHAK BEDI,57440,Sahiwal GPO,Punjab,57441
CHAK BELI KHAN,47600,Rawalpindi GPO,Punjab,47601
CHAK BHAUN,48694,Chakwal GPO,Punjab,48695
CHAK DADAN,28490,Bannu GPO,KPK,28491
CHAK DAULAT,49520,Jhelum GPO,Punjab,49521
CHAK DHAMNI,12380,Rawalakot GPO,Azad Kashmir,12381
CHAK JANI,49102,Jhelum GPO,Punjab,49103
CHAK JANO KHURD,50310,Mandi Bahauddin GPO,Punjab,50311
CHAK JHUMRA,37700,Faisalabad GPO,Punjab,37701
CHAK KAMALA,50840,Gujrat GPO,Punjab,50841
CHAK MALOOK,48770,Chakwal GPO,Punjab,48771
CHAK MUHAMMAD,50120,Gujrat GPO,Punjab,50121
CHAK NO. 1,50350,Mandi Bahauddin GPO,Punjab,50351
CHAK NO.270 TDA,31250,Layyah GPO,Punjab,31251
CHAK NO.279 TDA,31400,Layyah GPO,Punjab,31401
CHAK NO.73/5-L (MOGHAL),57430,Sahiwal GPO,Punjab,57431
CHAK RAM DAS,40520,Sargodha GPO,Punjab,40521
CHAK SAWARI,10500,Mirpur GPO,Azad Kashmir,10501
CHAK SHAFI,57150,Sahiwal GPO,Punjab,57151
CHAK YANI,77320,Larkana GPO,Sindh,77321
CHAK-186,30004,Bhakkar GPO,Punjab,30005
CHAK-379/WB,60030,Multan GPO,Punjab,60031
CHAK41,68122,Sanghar GPO,Sindh,68123
CHAK-5/11L,57174,Sahiwal GPO,Punjab,57175
CHAKDARA,18800,Batkhela HPO,KPK,18801
CHAKIA,21270,Mansehra GPO,KPK,21271
CHAKISAR,19090,Saidu Sharif GPO,KPK,19091
CHAKLALA AIR FIELD RAWALPINDI,46210,Rawalpindi GPO,Punjab,46211
CHAKORA,48930,Chakwal GPO,Punjab,48931
CHAKOTHI,13240,Muzaffarabad GPO,Azad Kashmir,13241
CHAKRAL,48840,Chakwal GPO,Punjab,48841
CHAKRALA,42230,Mianwali GPO,Punjab,42231
CHAKRALI BUDHAL,47476,Rawalpindi GPO,Punjab,47477
CHAKRI,49730,Jhelum GPO,Punjab,49731
CHAKRI,47300,Rawalpindi GPO,Punjab,47301
CHAKWAL G.P.O,48800,Chakwal GPO,Punjab,48801
CHAL NO.127/EB,57490,Sahiwal GPO,Punjab,57491
CHALT,15500,Gilgit GPO,Northern Area,15501
CHAMAN,86000,Quetta GPO,Balochistan,86001
CHAMANKOT,12630,Bagh GPO,Azad Kashmir,12631
CHAMATTI,22130,Abbottabad GPO,KPK,22131
CHAMBER,70080,Hyderabad GPO,Sindh,70081
CHAMKANI,24350,Peshawar GPO,KPK,24351
CHAMYALI,22160,Abbottabad GPO,KPK,22161
CHANDKA MEDICAL COLLEGE LARKANA ,77170,Larkana GPO,Sindh,77171
CHANDO MAIRA,22540,Abbottabad GPO,KPK,22541
CHANG,66300,Khairpur GPO ,Sindh,66301
CHANGA,48240,Talagang GPO,Punjab,48241
CHANGA BANGIAL,49764,Gujar Khan GPO,Punjab,49765
CHANGLA GALI ,22320,Abbottabad GPO,KPK,22321
CHANI GOTH,63450,Bahawalpur GPO,Punjab,63451
CHAPRAR,51270,Sialkot GPO,Punjab,51271
CHAPRI,42110,Mianwali GPO,Punjab,42111
CHARBAGH,19120,Saidu Sharif GPO,KPK,19121
CHARHOI,11250,Kotli GPO,Azad Kashmir,11251
CHARSADDA GPO,24420,Charsadda GPO,KPK,24421
CHASHMA BARRAGE COLONY MIANWALI,42030,Mianwali GPO,Punjab,42031
CHATAR PLAIN,21070,Mansehra GPO,KPK,21071
CHATORE KHAND ,15200,Gilgit GPO,Northern Area,15201
CHATTAR,80800,Sibi GPO,Balochistan,80801
CHAUNTRA,47590,Rawalpindi GPO,Punjab,47591
CHAWINDA,51420,Sialkot GPO,Punjab,51421
CHAWK AZAM,31450,Layyah GPO,Punjab,31451
CHECHIAN ,10350,Mirpur GPO,Azad Kashmir,10351
CHELLIAN WALA,50360,Mandi Bahauddin GPO,Punjab,50361
CHENAB NAGAR,35460,Jhang GPO,Punjab,35461
CHENARI,13190,Muzaffarabad GPO,Azad Kashmir,13191
CHERAT,24280,Nowshera GPO,KPK,24281
CHHAB,43270,Attock GPO,Punjab,43271
CHHANGA MANGA,55200,Kasur GPO,Punjab,55201
CHHANI REKI,10404,Mirpur GPO,Azad Kashmir,10405
CHHATTROH,10320,Mirpur GPO,Azad Kashmir,10321
CHHIDROO,42260,Mianwali GPO,Punjab,42261
CHHONAWALA,63020,Bahawalpur GPO,Punjab,63021
CHHOR,69090,Mirpur Khas GPO,Sindh,69091
